Date Time,dissolved oxygen(ppm)
9/14/2019 14:47,7.5
9/14/2019 14:47,7.49
9/14/2019 14:47,7.5
9/14/2019 14:48,7.51
9/14/2019 14:48,7.5
9/14/2019 14:49,7.51
9/14/2019 14:49,7.5
9/14/2019 14:50,7.5
9/14/2019 14:50,7.5
9/14/2019 14:50,7.5
9/14/2019 14:51,7.5
9/14/2019 14:51,7.5
9/14/2019 14:52,7.5
9/14/2019 14:52,7.51
9/14/2019 14:53,7.49
9/14/2019 14:53,7.51
9/14/2019 14:53,7.5
9/14/2019 14:54,7.5
9/14/2019 14:54,7.5
9/14/2019 14:55,7.5
9/14/2019 14:55,7.52
9/14/2019 14:56,7.51
9/14/2019 14:56,7.5
9/14/2019 14:56,7.5
9/14/2019 14:57,7.51
9/14/2019 14:57,7.51
9/14/2019 14:58,7.52
9/14/2019 14:58,7.5
9/14/2019 14:58,7.51
9/14/2019 14:59,7.51
9/14/2019 14:59,7.5
9/14/2019 15:01,7.35
9/14/2019 15:02,7.48
9/14/2019 15:02,7.5
9/14/2019 15:02,7.51
9/14/2019 15:03,7.5
9/14/2019 15:03,7.51
9/14/2019 15:04,7.51
9/14/2019 15:04,7.52
9/14/2019 15:05,7.52
9/14/2019 15:36,7.14
9/14/2019 15:37,7.44
9/14/2019 15:37,7.47
9/14/2019 15:37,7.49
9/14/2019 15:38,7.5
9/14/2019 15:38,7.5
9/14/2019 15:39,7.53
9/14/2019 15:39,7.51
9/14/2019 15:40,7.51
9/14/2019 15:40,7.52
9/14/2019 15:40,7.52
9/14/2019 15:41,7.52
9/14/2019 15:41,7.52
9/14/2019 15:42,7.52
9/14/2019 15:42,7.53
9/14/2019 15:43,7.53
9/14/2019 15:43,7.53
9/14/2019 15:43,7.54
9/14/2019 15:44,7.54
9/14/2019 15:44,7.53
9/14/2019 15:45,7.54
9/14/2019 15:45,7.55
9/14/2019 15:45,7.55
9/14/2019 15:46,7.54
9/14/2019 15:46,7.55
9/14/2019 15:47,7.56
9/14/2019 15:47,7.56
9/14/2019 15:48,7.57
9/14/2019 15:48,7.56
9/14/2019 15:48,7.58
9/14/2019 15:49,7.57
9/14/2019 15:49,7.58
9/14/2019 15:50,7.6
9/14/2019 15:50,7.58
9/14/2019 15:51,7.59
9/14/2019 15:51,7.58
9/14/2019 15:51,7.59
9/14/2019 15:52,7.59
9/14/2019 15:52,7.59
9/14/2019 15:53,7.6
9/14/2019 15:53,7.6
9/14/2019 15:54,7.61
9/14/2019 15:54,7.6
9/14/2019 15:54,7.61
9/14/2019 15:55,7.6
9/14/2019 15:55,7.61
9/14/2019 15:56,7.61
9/14/2019 15:56,7.6
9/14/2019 15:56,7.6
9/14/2019 15:57,7.6
9/14/2019 15:57,7.59
9/14/2019 15:58,7.61
9/14/2019 15:58,7.66
9/14/2019 15:59,7.6
9/14/2019 15:59,7.59
9/14/2019 15:59,7.6
9/14/2019 16:01,7.44
9/14/2019 16:02,7.58
9/14/2019 16:02,7.57
9/14/2019 16:02,7.57
9/14/2019 16:03,7.58
9/14/2019 16:03,7.57
